id,NPS,descripcion,p1,categoria,clasificacion,,,interesante
60882907,10,chirriztun16@gmail.com super genial util sencillo,101,Fácil de usar,Positiva,,,
60198234,10,"muy útil, intuitiva y eficaz!",101,Fácil de usar,Positiva,,,
60259661,10,está  entendible y útil,101,Fácil de usar,Positiva,,,
60484383,10,fácil de utilizar,101,Fácil de usar,Positiva,,,
60789810,10,muy práctica y fácil,101,Fácil de usar,Positiva,,,
60613179,10,"super facil y práctica, me encanta!!",101,Fácil de usar,Positiva,,,
60195784,10,es lo mejor y súper fácil de utilizar,101,Fácil de usar,Positiva,,,
60330059,10,todo muy bien me encanta la aplicación fácil de utilizar,101,Fácil de usar,Positiva,,,
60460762,10,me encanta la app es tan fácil de usar,101,Fácil de usar,Positiva,,,
60523002,10,súper fácil de trabajar en ella,101,Fácil de usar,Positiva,,,
60757967,10,"me encanta su aplicación, es sencilla y muy clara",101,Fácil de usar,Positiva,,,
60832155,10,super fácil de usar,101,Fácil de usar,Positiva,,,
60889996,10,"super bien la app, muy fácil de usar y segura",101,Fácil de usar,Positiva,,,
60346501,10,muy buena aplicación fácil y rápido,101,Fácil de usar,Positiva,,,
60312445,10,totalmente satisfecha con la app  super rápido y fácil de entender... en mi opinión la mejor comparada con otras aplicaciones bancarias. felicidades,101,Fácil de usar,Positiva,,,
60117550,10,es mi facil y rápido no quita mucho tiempo,101,Fácil de usar,Positiva,,,
60355423,10,"me agrada que es fácil de usar, que es rápido, me siento segura de hacer alguna compra en internet y tengo un servicio 24/7 aquí.",101,Fácil de usar,Positiva,,,
60620047,10,buen servicio fácil y rápido,101,Fácil de usar,Positiva,,,
60835133,10,"en nada, es rápido y muy fácil",101,Fácil de usar,Positiva,,,
60848282,10,muy fácil y rápida de usar,101,Fácil de usar,Positiva,,,
60090016,10,muy buena app y facilita algunas cosas,101,Fácil de usar,Positiva,,,
60131712,10,si muy buena aplicación fácil de usar,101,Fácil de usar,Positiva,,,
60133636,9,muy buena y fácil de entender,101,Fácil de usar,Positiva,,,
60140012,10,muy practica y fácil de usar,101,Fácil de usar,Positiva,,,
60148213,10,fácil y práctico.,101,Fácil de usar,Positiva,,,
60251601,10,muy buena app me gusta mucho y fácil de utilizar,101,Fácil de usar,Positiva,,,
60252651,10,eficiente app facil uso,101,Fácil de usar,Positiva,,,
60296328,10,"excelente app, muy facil de usar",101,Fácil de usar,Positiva,,,
